,stock_ticker,price,sma_50,sma_150,sma_200,sma_200_20_days_before,sma_200_is_up_for_months,low_of_52_weeks,high_of_52_weeks,rs_rating,is_pass_condition_1,is_pass_condition_2,is_pass_condition_3,is_pass_condition_4,is_pass_condition_5,is_pass_condition_6,is_pass_condition_7,is_pass_condition_8,is_pass_all_conditions
0,A,139.33,140.88,128.0,126.2,123.98,True,100.84,149.07,86.51,True,True,True,True,False,True,True,True,False
1,AA,35.96,31.33,28.9,29.56,29.4,True,23.23,37.18,74.6,True,False,True,False,True,True,True,True,False
2,AACG,0.9,1.23,1.09,1.14,1.17,False,0.81,1.94,70.63,False,False,False,False,False,False,False,True,False
3,AACI,11.2,11.1,10.88,10.81,10.72,True,10.12,11.85,84.13,True,True,True,True,True,False,True,True,False
4,AACT,10.61,10.56,10.44,10.38,,True,10.1,10.63,102.38,True,True,True,True,True,False,True,True,False
5,AADI,1.87,2.05,3.08,3.78,4.29,False,1.59,8.51,73.02,False,False,False,False,False,False,False,True,False
6,AAGR,0.36,0.52,3.28,4.33,4.99,False,0.3,7.77,79.37,False,False,False,False,False,False,False,True,False
7,AAL,14.37,14.5,13.52,14.09,14.36,False,10.92,18.8,80.16,True,False,False,False,False,True,True,True,False
8,AAMC,3.29,3.74,3.97,7.06,10.02,False,2.69,59.24,68.25,False,False,False,False,False,False,False,False,False
9,AAME,1.96,2.49,2.2,2.12,2.1,True,1.53,2.81,80.16,False,True,True,True,False,False,False,True,False
10,AAN,7.49,7.87,8.97,9.85,10.41,False,6.67,15.37,88.89,False,False,False,False,False,False,False,True,False
11,AAOI,11.48,14.62,14.32,13.5,12.79,True,1.64,23.19,75.4,False,True,True,True,False,True,False,True,False
12,AAON,87.5,84.8,71.09,69.43,67.14,True,52.73,92.88,103.97,True,True,True,True,True,True,True,True,True
13,AAP,77.53,74.47,62.93,64.11,63.11,True,47.9,123.83,73.81,True,False,True,False,True,True,False,True,False
14,AAPL,166.74,174.25,180.9,181.64,183.24,False,162.89,197.86,80.95,False,False,False,False,False,False,True,True,False
15,AAT,21.74,21.17,20.48,20.48,20.23,True,16.31,23.43,81.75,True,False,True,False,True,True,True,True,False
16,AB,33.77,33.55,30.92,30.74,30.43,True,25.48,34.98,80.16,True,True,True,True,True,True,True,True,True
17,ABAT,1.27,1.91,3.96,5.37,6.32,False,1.27,13.05,50.0,False,False,False,False,False,False,False,False,False
18,ABBV,170.28,173.65,157.34,153.58,149.92,True,127.34,180.42,101.59,True,True,True,True,False,True,True,True,False
19,ABCB,47.85,46.45,44.99,43.78,42.61,True,28.6,53.53,77.78,True,True,True,True,True,True,True,True,True
20,ABCL,4.09,4.67,4.79,5.16,5.42,False,3.87,7.95,72.22,False,False,False,False,False,False,False,True,False
21,ABEO,3.39,7.4,5.49,5.05,4.78,True,2.96,8.68,76.19,False,True,True,True,False,False,False,True,False
22,ABEV,2.31,2.48,2.56,2.61,2.67,False,2.26,3.06,76.19,False,False,False,False,False,False,True,True,False
23,ABG,219.95,216.64,213.66,217.24,218.18,True,184.92,251.19,90.48,True,False,True,False,True,False,True,True,False
24,ABIO,3.68,2.15,1.93,1.96,1.88,True,1.58,3.68,80.95,True,False,True,False,True,True,True,True,False
25,ABL,12.02,11.94,9.53,8.96,8.8,True,5.75,12.47,88.89,True,True,True,True,True,True,True,True,True
26,ABM,44.7,42.53,41.86,42.23,41.99,True,38.1,51.77,83.33,True,False,True,False,True,False,True,True,False
27,ABNB,160.88,159.55,141.95,141.24,138.06,True,104.42,168.18,82.54,True,True,True,True,True,True,True,True,True
28,ABOS,3.21,3.84,3.46,4.24,4.39,False,1.86,9.72,74.6,False,False,False,False,False,True,False,True,False
29,ABR,13.13,12.75,13.12,13.55,13.58,True,9.21,16.1,81.75,False,False,True,False,True,True,True,True,False
30,ABSI,4.83,5.16,3.32,2.94,2.58,True,1.15,6.59,92.06,True,True,True,True,False,True,False,True,False
31,ABT,108.03,113.48,106.07,105.68,105.14,True,89.31,120.36,83.33,True,True,True,True,False,False,True,True,False
32,ABTS,0.76,0.82,0.94,0.98,0.99,False,0.63,1.7,82.54,False,False,False,False,False,False,False,True,False
33,ABUS,2.71,2.77,2.32,2.27,2.22,True,1.69,3.12,73.02,True,True,True,True,False,True,True,True,False
34,ABVC,1.26,1.2,1.21,1.53,1.94,False,0.81,9.2,60.32,False,False,False,False,True,True,False,False,False
35,AC,32.48,32.9,33.86,34.52,34.78,False,31.92,39.86,80.16,False,False,False,False,False,False,True,True,False
36,ACA,77.42,82.16,77.4,77.08,76.39,True,58.18,85.95,98.41,True,True,True,True,False,True,True,True,False
37,ACAB,10.77,10.72,10.68,10.63,10.6,True,10.29,11.4,85.71,True,True,True,True,True,False,True,True,False
38,ACAD,16.74,20.64,23.49,24.64,25.27,False,16.74,33.47,69.84,False,False,False,False,False,False,False,False,False
39,ACB,7.22,4.5,4.75,4.96,4.9,True,2.89,9.83,65.87,True,False,True,False,True,True,False,False,False
40,ACBA,12.1,12.11,11.88,11.75,11.67,True,10.91,12.23,88.89,True,True,True,True,False,False,True,True,False
41,ACCD,9.48,9.98,9.91,10.83,11.18,False,6.5,16.06,73.81,False,False,False,False,False,True,False,True,False
42,ACCO,5.01,5.49,5.49,5.45,5.43,True,4.14,6.5,89.68,False,True,True,False,False,False,True,True,False
43,ACDC,8.26,8.03,8.41,9.23,9.59,False,6.73,13.71,75.4,False,False,False,False,True,False,False,True,False
44,ACEL,11.7,11.23,10.62,10.78,10.65,True,8.36,12.01,90.48,True,False,True,False,True,True,True,True,False
45,ACET,2.12,2.34,1.96,2.04,2.19,False,1.11,7.13,66.67,True,False,False,False,False,True,False,False,False
46,ACGL,94.05,89.74,84.0,82.39,80.49,True,69.67,94.9,99.21,True,True,True,True,True,True,True,True,True
47,ACGLN,19.69,20.22,19.11,18.82,18.66,True,16.16,20.89,74.6,True,True,True,True,False,False,True,True,False
48,ACGLO,22.91,23.41,22.19,21.92,21.81,True,18.78,24.16,85.71,True,True,True,True,False,False,True,True,False
49,ACHC,71.05,78.76,76.88,76.49,76.62,True,67.21,87.38,79.37,False,True,True,True,False,False,True,True,False
50,ACHL,0.8,1.11,0.95,0.96,0.96,True,0.78,1.57,76.98,False,False,True,False,False,False,False,True,False
51,ACHR,4.05,4.62,5.21,5.39,5.37,True,1.82,7.22,81.75,False,False,True,False,False,True,False,True,False
52,ACHV,4.55,4.42,4.4,4.59,4.7,False,3.15,9.93,80.16,False,False,False,False,True,True,False,True,False
53,ACI,20.26,20.87,21.63,21.71,21.75,True,19.6,23.46,81.75,False,False,True,False,False,False,True,True,False
54,ACIC,10.83,11.32,9.68,8.86,8.26,True,3.05,13.95,87.3,True,True,True,True,False,True,True,True,False
55,ACIU,2.38,3.12,3.28,3.23,3.21,True,1.85,5.0,70.63,False,True,True,False,False,False,False,True,False
56,ACIW,33.46,31.87,28.11,26.96,26.03,True,19.75,33.83,97.62,True,True,True,True,True,True,True,True,True
57,ACLS,98.65,109.79,127.7,140.47,147.03,False,94.79,200.48,70.63,False,False,False,False,False,False,False,True,False
58,ACLX,55.65,64.5,53.49,48.75,46.32,True,31.17,73.49,73.81,True,True,True,True,False,True,True,True,False
59,ACM,93.95,92.8,88.04,87.66,86.64,True,74.63,98.4,103.17,True,True,True,True,True,False,True,True,False
60,ACMR,28.08,27.31,20.95,19.36,17.78,True,8.88,33.91,76.98,True,True,True,True,True,True,True,True,True
61,ACN,317.78,352.47,337.12,330.93,328.95,True,259.49,385.42,98.41,False,True,True,True,False,False,True,True,False
