,stock_ticker,price,sma_50,sma_150,sma_200,sma_200_20_days_before,low_of_52_weeks,high_of_52_weeks,rs_rating,is_pass_condition_1,is_pass_condition_2,is_pass_condition_3,is_pass_condition_4,is_pass_condition_5,is_pass_condition_6,is_pass_condition_7,is_pass_condition_8,is_pass_all_conditions
12,AAON,87.9,84.81,71.09,69.43,67.14,52.73,92.88,103.97,True,True,True,True,True,True,True,True,True
19,ABCB,47.35,46.44,44.99,43.78,42.61,28.6,53.53,77.78,True,True,True,True,True,True,True,True,True
49,ACGL,93.83,89.74,83.99,82.39,80.49,69.67,94.9,97.62,True,True,True,True,True,True,True,True,True
59,ACIW,33.11,31.86,28.11,26.95,26.03,19.75,33.83,97.62,True,True,True,True,True,True,True,True,True
66,ACNT,10.49,10.36,9.33,9.24,9.13,7.35,10.9,76.19,True,True,True,True,True,True,True,True,True
69,ACR,13.74,12.18,9.81,9.52,9.01,6.99,14.23,84.92,True,True,True,True,True,True,True,True,True
74,ACT,29.97,29.05,27.98,27.7,27.12,21.13,31.18,97.62,True,True,True,True,True,True,True,True,True
75,ACTG,5.02,4.62,4.04,4.0,3.92,3.46,5.37,79.37,True,True,True,True,True,True,True,True,True
84,ADCT,5.0,4.63,2.47,2.19,1.96,0.47,5.29,77.78,True,True,True,True,True,True,True,True,True
90,ADMA,6.36,5.97,4.7,4.5,4.27,3.08,6.74,86.51,True,True,True,True,True,True,True,True,True
96,ADSE,10.86,10.32,8.04,7.74,7.3,2.0,11.17,82.54,True,True,True,True,True,True,True,True,True
99,ADTH,3.18,3.11,2.08,1.91,1.75,1.13,3.72,84.13,True,True,True,True,True,True,True,True,True
103,ADV,4.65,4.09,3.45,3.25,3.06,1.17,4.65,104.76,True,True,True,True,True,True,True,True,True
112,AEG,6.16,5.89,5.53,5.42,5.3,4.05,6.3,109.52,True,True,True,True,True,True,True,True,True
117,AEL,56.03,55.4,54.62,54.26,53.37,36.88,56.03,98.41,True,True,True,True,True,True,True,True,True
118,AEM,62.69,55.4,51.27,50.5,49.25,42.71,63.84,87.3,True,True,True,True,True,True,True,True,True
