,stock_ticker,price,sma_50,sma_150,sma_200,sma_200_20_days_before,sma_200_is_up_for_months,low_of_52_weeks,high_of_52_weeks,rs_rating,is_pass_condition_1,is_pass_condition_2,is_pass_condition_3,is_pass_condition_4,is_pass_condition_5,is_pass_condition_6,is_pass_condition_7,is_pass_condition_8,is_pass_all_conditions
12,AAON,87.5,84.8,71.09,69.43,67.14,True,52.73,92.88,103.97,True,True,True,True,True,True,True,True,True
16,AB,33.77,33.55,30.92,30.74,30.43,True,25.48,34.98,80.16,True,True,True,True,True,True,True,True,True
19,ABCB,47.85,46.45,44.99,43.78,42.61,True,28.6,53.53,77.78,True,True,True,True,True,True,True,True,True
25,ABL,12.02,11.94,9.53,8.96,8.8,True,5.75,12.47,88.89,True,True,True,True,True,True,True,True,True
27,ABNB,160.88,159.55,141.95,141.24,138.06,True,104.42,168.18,82.54,True,True,True,True,True,True,True,True,True
46,ACGL,94.05,89.74,84.0,82.39,80.49,True,69.67,94.9,99.21,True,True,True,True,True,True,True,True,True
56,ACIW,33.46,31.87,28.11,26.96,26.03,True,19.75,33.83,97.62,True,True,True,True,True,True,True,True,True
60,ACMR,28.08,27.31,20.95,19.36,17.78,True,8.88,33.91,76.98,True,True,True,True,True,True,True,True,True
66,ACR,13.98,12.18,9.81,9.53,9.01,True,6.99,14.23,87.3,True,True,True,True,True,True,True,True,True
71,ACT,29.99,29.05,27.98,27.7,27.12,True,21.13,31.18,97.62,True,True,True,True,True,True,True,True,True
72,ACTG,5.0,4.62,4.04,4.0,3.92,True,3.46,5.37,79.37,True,True,True,True,True,True,True,True,True
81,ADCT,5.02,4.63,2.47,2.19,1.96,True,0.47,5.29,77.78,True,True,True,True,True,True,True,True,True
87,ADMA,6.62,5.97,4.7,4.5,4.27,True,3.08,6.74,86.51,True,True,True,True,True,True,True,True,True
93,ADSE,10.9,10.33,8.04,7.74,7.3,True,2.0,11.17,82.54,True,True,True,True,True,True,True,True,True
96,ADTH,3.19,3.11,2.08,1.91,1.75,True,1.13,3.72,84.13,True,True,True,True,True,True,True,True,True
100,ADV,4.77,4.09,3.45,3.25,3.06,True,1.17,4.77,104.76,True,True,True,True,True,True,True,True,True
109,AEG,6.2,5.89,5.53,5.42,5.3,True,4.05,6.3,109.52,True,True,True,True,True,True,True,True,True
114,AEL,56.17,55.4,54.62,54.26,53.37,True,36.88,56.17,98.41,True,True,True,True,True,True,True,True,True
115,AEM,63.06,55.41,51.28,50.5,49.25,True,42.71,63.84,87.3,True,True,True,True,True,True,True,True,True
120,AER,85.93,82.47,73.08,70.55,68.32,True,54.02,87.63,98.41,True,True,True,True,True,True,True,True,True
125,AEYE,13.45,9.21,6.22,5.94,5.34,True,3.95,14.74,73.81,True,True,True,True,True,True,True,True,True
129,AFBI,16.9,16.54,15.63,15.2,14.78,True,11.56,17.15,84.13,True,True,True,True,True,True,True,True,True
137,AFL,83.86,82.21,80.72,78.79,77.32,True,63.12,85.86,116.67,True,True,True,True,True,True,True,True,True
150,AGI,15.1,13.51,13.02,12.76,12.47,True,10.88,15.37,90.48,True,True,True,True,True,True,True,True,True
153,AGM,189.62,185.55,173.0,170.0,165.75,True,120.31,197.11,103.97,True,True,True,True,True,True,True,True,True
157,AGNCM,24.59,24.43,23.35,22.98,22.63,True,18.86,24.73,104.76,True,True,True,True,True,True,True,True,True
167,AGX,62.07,50.33,46.77,45.06,43.56,True,36.89,62.07,98.41,True,True,True,True,True,True,True,True,True
168,AGYS,84.39,80.76,80.32,77.76,76.4,True,63.77,91.4,79.37,True,True,True,True,True,True,True,True,True
176,AIG,75.27,74.1,67.63,65.37,63.48,True,48.77,78.34,103.97,True,True,True,True,True,True,True,True,True
186,AIR,67.74,63.54,62.9,62.07,61.57,True,50.11,72.28,87.3,True,True,True,True,True,True,True,True,True
189,AIRI,5.1,4.7,3.7,3.57,3.42,True,2.65,5.7,78.57,True,True,True,True,True,True,True,True,True
204,AKA,11.4,10.7,8.93,8.12,7.59,True,3.85,13.65,83.33,True,True,True,True,True,True,True,True,True
209,AKR,17.67,16.57,15.72,15.47,15.17,True,12.01,17.67,93.65,True,True,True,True,True,True,True,True,True
214,AL,50.9,45.81,41.06,40.99,40.14,True,33.44,51.44,97.62,True,True,True,True,True,True,True,True,True
215,ALAR,27.69,19.28,10.49,8.54,6.52,True,1.92,27.69,92.86,True,True,True,True,True,True,True,True,True
237,ALKT,24.65,24.31,22.51,21.05,20.29,True,11.01,26.45,92.06,True,True,True,True,True,True,True,True,True
238,ALL,176.51,163.95,144.18,134.72,128.75,True,99.11,176.51,95.24,True,True,True,True,True,True,True,True,True
245,ALLY,40.14,37.77,32.34,31.14,29.99,True,22.29,40.6,92.86,True,True,True,True,True,True,True,True,True
249,ALPN,64.62,41.26,24.49,21.51,17.69,True,6.84,64.62,114.29,True,True,True,True,True,True,True,True,True
256,ALSN,79.82,76.77,63.38,62.13,59.59,True,44.68,82.58,111.11,True,True,True,True,True,True,True,True,True
